 workclass, education, race,gender, income
 State-gov, Bachelors, White, Male, <=50K
 Self-emp-not-inc, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 11th, Black, Male, <=50K
 Private, Bachelors, Black, Female, <=50K
 Private, Masters, White, Female, <=50K
 Private, 9th, Black, Female, <=50K
 Self-emp-not-inc, HS-grad, White, Male, >50K
 Private, Masters, White, Female, >50K
 Private, Bachelors, White, Male, >50K
 Private, Some-college, Black, Male, >50K
 State-gov, Bachelors, Asian-Pac-Islander, Male, >50K
 Private, Bachelors, White, Female, <=50K
 Private, Assoc-acdm, Black, Male, <=50K
 Private, Assoc-voc, Asian-Pac-Islander, Male, >50K
 Private, 7th-8th, Amer-Indian-Eskimo, Male, <=50K
 Self-emp-not-inc, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, 11th, White, Male, <=50K
 Self-emp-not-inc, Masters, White, Female, >50K
 Private, Doctorate, White, Male, >50K
 Private, HS-grad, Black, Female, <=50K
 Federal-gov, 9th, Black, Male, <=50K
 Private, 11th, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Local-gov, Bachelors, White, Male, >50K
 Private, HS-grad, White, Male, <=50K
 ?, Some-college, Asian-Pac-Islander, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Local-gov, Assoc-acdm, White, Male, <=50K
 Private, Some-college, Black, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Federal-gov, Some-college, White, Male, <=50K
 State-gov, Some-college, Black, Male, <=50K
 Private, 11th, White, Male, <=50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Some-college, White, Male, >50K
 Self-emp-not-inc, Assoc-acdm, White, Male, <=50K
 Private, 9th, White, Male, <=50K
 Self-emp-not-inc, Bachelors, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, HS-grad, White, Male, <=50K
 Federal-gov, Bachelors, Black, Male, >50K
 Private, HS-grad, White, Male, <=50K
 Private, Masters, White, Female, <=50K
 State-gov, Assoc-voc, White, Male, <=50K
 Private, Assoc-voc, White, Male, <=50K
 Private, Some-college, Other, Female, <=50K
 Private, HS-grad, White, Female, <=50K
 Private, Prof-school, White, Female, >50K
 Federal-gov, Bachelors, White, Male, >50K
 Self-emp-inc, HS-grad, White, Male, <=50K
 Private, Some-college, White, Male, >50K
 Private, 5th-6th, White, Male, <=50K
 Private, Assoc-voc, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Bachelors, White, Male, <=50K
 ?, 7th-8th, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Doctorate, White, Male, >50K
 Private, Some-college, White, Male, <=50K
 Private, HS-grad, White, Male, <=50K
 Private, Some-college, White, Female, <=50K
 Private, HS-grad, White, Female, >50K
